sample_name,sample,compound,dose,replicate
MCF7_AZD_0p1uM-1,MCF7,AZD,0p1uM,1
MCF7_AZD_0p1uM-2,MCF7,AZD,0p1uM,2
MCF7_AZD_0p1uM-3,MCF7,AZD,0p1uM,3
MCF7_AZD_10uM-1,MCF7,AZD,10uM,1
MCF7_AZD_10uM-2,MCF7,AZD,10uM,2
MCF7_AZD_10uM-3,MCF7,AZD,10uM,3
MCF7_AZD_1uM-1,MCF7,AZD,1uM,1
MCF7_AZD_1uM-2,MCF7,AZD,1uM,2
MCF7_AZD_1uM-3,MCF7,AZD,1uM,3
MCF7_DACTO_0p1uM-1,MCF7,DACTO,0p1uM,1
MCF7_DACTO_0p1uM-2,MCF7,DACTO,0p1uM,2
MCF7_DACTO_0p1uM-3,MCF7,DACTO,0p1uM,3
MCF7_DACTO_10uM-1,MCF7,DACTO,10uM,1
MCF7_DACTO_10uM-2,MCF7,DACTO,10uM,2
MCF7_DACTO_10uM-3,MCF7,DACTO,10uM,3
MCF7_DACTO_1uM-1,MCF7,DACTO,1uM,1
MCF7_DACTO_1uM-2,MCF7,DACTO,1uM,2
MCF7_DACTO_1uM-3,MCF7,DACTO,1uM,3
MCF7_DMSO1-1,MCF7,DMSO1,,1
MCF7_DMSO1-2,MCF7,DMSO1,,2
MCF7_DMSO1-3,MCF7,DMSO1,,3
MCF7_DMSO1-4,MCF7,DMSO1,,4
MCF7_DMSO1-5,MCF7,DMSO1,,5
MCF7_DMSO1-6,MCF7,DMSO1,,6
MCF7_DMSO2-1,MCF7,DMSO2,,1
MCF7_DMSO2-2,MCF7,DMSO2,,2
MCF7_DMSO2-3,MCF7,DMSO2,,3
MCF7_DMSO2-4,MCF7,DMSO2,,4
MCF7_DMSO2-5,MCF7,DMSO2,,5
MCF7_DMSO2-6,MCF7,DMSO2,,6
MCF7_EVE_0p1uM-1,MCF7,EVE,0p1uM,1
MCF7_EVE_0p1uM-2,MCF7,EVE,0p1uM,2
MCF7_EVE_0p1uM-3,MCF7,EVE,0p1uM,3
MCF7_EVE_10uM-1,MCF7,EVE,10uM,1
MCF7_EVE_10uM-2,MCF7,EVE,10uM,2
MCF7_EVE_10uM-3,MCF7,EVE,10uM,3
MCF7_EVE_1uM-1,MCF7,EVE,1uM,1
MCF7_EVE_1uM-2,MCF7,EVE,1uM,2
MCF7_EVE_1uM-3,MCF7,EVE,1uM,3
MCF7_KU_0p1uM-1,MCF7,KU,0p1uM,1
MCF7_KU_0p1uM-2,MCF7,KU,0p1uM,2
MCF7_KU_0p1uM-3,MCF7,KU,0p1uM,3
MCF7_KU_10uM-1,MCF7,KU,10uM,1
MCF7_KU_10uM-2,MCF7,KU,10uM,2
MCF7_KU_10uM-3,MCF7,KU,10uM,3
MCF7_KU_1uM-1,MCF7,KU,1uM,1
MCF7_KU_1uM-2,MCF7,KU,1uM,2
MCF7_KU_1uM-3,MCF7,KU,1uM,3
MCF7_LY_0p1uM-1,MCF7,LY,0p1uM,1
MCF7_LY_0p1uM-2,MCF7,LY,0p1uM,2
MCF7_LY_0p1uM-3,MCF7,LY,0p1uM,3
MCF7_LY_10uM-1,MCF7,LY,10uM,1
MCF7_LY_10uM-2,MCF7,LY,10uM,2
MCF7_LY_10uM-3,MCF7,LY,10uM,3
MCF7_LY_1uM-1,MCF7,LY,1uM,1
MCF7_LY_1uM-2,MCF7,LY,1uM,2
MCF7_LY_1uM-3,MCF7,LY,1uM,3
MCF7_OSI_0p1uM-1,MCF7,OSI,0p1uM,1
MCF7_OSI_0p1uM-2,MCF7,OSI,0p1uM,2
MCF7_OSI_0p1uM-3,MCF7,OSI,0p1uM,3
MCF7_OSI_10uM-1,MCF7,OSI,10uM,1
MCF7_OSI_10uM-2,MCF7,OSI,10uM,2
MCF7_OSI_10uM-3,MCF7,OSI,10uM,3
MCF7_OSI_1uM-1,MCF7,OSI,1uM,1
MCF7_OSI_1uM-2,MCF7,OSI,1uM,2
MCF7_OSI_1uM-3,MCF7,OSI,1uM,3
MCF7_RAPA_0p1uM-1,MCF7,RAPA,0p1uM,1
MCF7_RAPA_0p1uM-2,MCF7,RAPA,0p1uM,2
MCF7_RAPA_0p1uM-3,MCF7,RAPA,0p1uM,3
MCF7_RAPA_10uM-1,MCF7,RAPA,10uM,1
MCF7_RAPA_10uM-2,MCF7,RAPA,10uM,2
MCF7_RAPA_10uM-3,MCF7,RAPA,10uM,3
MCF7_RAPA_1uM-1,MCF7,RAPA,1uM,1
MCF7_RAPA_1uM-2,MCF7,RAPA,1uM,2
MCF7_RAPA_1uM-3,MCF7,RAPA,1uM,3
MCF7_RIDA_0p1uM-1,MCF7,RIDA,0p1uM,1
MCF7_RIDA_0p1uM-2,MCF7,RIDA,0p1uM,2
MCF7_RIDA_0p1uM-3,MCF7,RIDA,0p1uM,3
MCF7_RIDA_10uM-1,MCF7,RIDA,10uM,1
MCF7_RIDA_10uM-2,MCF7,RIDA,10uM,2
MCF7_RIDA_10uM-3,MCF7,RIDA,10uM,3
MCF7_RIDA_1uM-1,MCF7,RIDA,1uM,1
MCF7_RIDA_1uM-2,MCF7,RIDA,1uM,2
MCF7_RIDA_1uM-3,MCF7,RIDA,1uM,3
MCF7_TEMSI_0p1uM-1,MCF7,TEMSI,0p1uM,1
MCF7_TEMSI_0p1uM-2,MCF7,TEMSI,0p1uM,2
MCF7_TEMSI_0p1uM-3,MCF7,TEMSI,0p1uM,3
MCF7_TEMSI_10uM-1,MCF7,TEMSI,10uM,1
MCF7_TEMSI_10uM-2,MCF7,TEMSI,10uM,2
MCF7_TEMSI_10uM-3,MCF7,TEMSI,10uM,3
MCF7_TEMSI_1uM-1,MCF7,TEMSI,1uM,1
MCF7_TEMSI_1uM-2,MCF7,TEMSI,1uM,2
MCF7_TEMSI_1uM-3,MCF7,TEMSI,1uM,3
MCF7_TOR1_0p1uM-1,MCF7,TOR1,0p1uM,1
MCF7_TOR1_0p1uM-2,MCF7,TOR1,0p1uM,2
MCF7_TOR1_0p1uM-3,MCF7,TOR1,0p1uM,3
MCF7_TOR1_10uM-1,MCF7,TOR1,10uM,1
MCF7_TOR1_10uM-2,MCF7,TOR1,10uM,2
MCF7_TOR1_10uM-3,MCF7,TOR1,10uM,3
MCF7_TOR1_1uM-1,MCF7,TOR1,1uM,1
MCF7_TOR1_1uM-2,MCF7,TOR1,1uM,2
MCF7_TOR1_1uM-3,MCF7,TOR1,1uM,3
MCF7_TOR2_0p1uM-1,MCF7,TOR2,0p1uM,1
MCF7_TOR2_0p1uM-2,MCF7,TOR2,0p1uM,2
MCF7_TOR2_0p1uM-3,MCF7,TOR2,0p1uM,3
MCF7_TOR2_10uM-1,MCF7,TOR2,10uM,1
MCF7_TOR2_10uM-2,MCF7,TOR2,10uM,2
MCF7_TOR2_10uM-3,MCF7,TOR2,10uM,3
MCF7_TOR2_1uM-1,MCF7,TOR2,1uM,1
MCF7_TOR2_1uM-2,MCF7,TOR2,1uM,2
MCF7_TOR2_1uM-3,MCF7,TOR2,1uM,3
MCF7_WYE_0p1uM-1,MCF7,WYE,0p1uM,1
MCF7_WYE_0p1uM-2,MCF7,WYE,0p1uM,2
MCF7_WYE_0p1uM-3,MCF7,WYE,0p1uM,3
MCF7_WYE_10uM-1,MCF7,WYE,10uM,1
MCF7_WYE_10uM-2,MCF7,WYE,10uM,2
MCF7_WYE_10uM-3,MCF7,WYE,10uM,3
MCF7_WYE_1uM-1,MCF7,WYE,1uM,1
MCF7_WYE_1uM-2,MCF7,WYE,1uM,2
MCF7_WYE_1uM-3,MCF7,WYE,1uM,3
MCF7_ZOTA_0p1uM-1,MCF7,ZOTA,0p1uM,1
MCF7_ZOTA_0p1uM-2,MCF7,ZOTA,0p1uM,2
MCF7_ZOTA_0p1uM-3,MCF7,ZOTA,0p1uM,3
MCF7_ZOTA_10uM-1,MCF7,ZOTA,10uM,1
MCF7_ZOTA_10uM-2,MCF7,ZOTA,10uM,2
MCF7_ZOTA_10uM-3,MCF7,ZOTA,10uM,3
MCF7_ZOTA_1uM-1,MCF7,ZOTA,1uM,1
MCF7_ZOTA_1uM-2,MCF7,ZOTA,1uM,2
MCF7_ZOTA_1uM-3,MCF7,ZOTA,1uM,3
MDA_AZD_0p1uM-1,MDA,AZD,0p1uM,1
MDA_AZD_0p1uM-2,MDA,AZD,0p1uM,2
MDA_AZD_0p1uM-3,MDA,AZD,0p1uM,3
MDA_AZD_10uM-1,MDA,AZD,10uM,1
MDA_AZD_10uM-2,MDA,AZD,10uM,2
MDA_AZD_10uM-3,MDA,AZD,10uM,3
MDA_AZD_1uM-1,MDA,AZD,1uM,1
MDA_AZD_1uM-2,MDA,AZD,1uM,2
MDA_AZD_1uM-3,MDA,AZD,1uM,3
MDA_DACTO_0p1uM-1,MDA,DACTO,0p1uM,1
MDA_DACTO_0p1uM-2,MDA,DACTO,0p1uM,2
MDA_DACTO_0p1uM-3,MDA,DACTO,0p1uM,3
MDA_DACTO_10uM-1,MDA,DACTO,10uM,1
MDA_DACTO_10uM-2,MDA,DACTO,10uM,2
MDA_DACTO_10uM-3,MDA,DACTO,10uM,3
MDA_DACTO_1uM-1,MDA,DACTO,1uM,1
MDA_DACTO_1uM-2,MDA,DACTO,1uM,2
MDA_DACTO_1uM-3,MDA,DACTO,1uM,3
MDA_DMSO1-1,MDA,DMSO1,,1
MDA_DMSO1-2,MDA,DMSO1,,2
MDA_DMSO1-3,MDA,DMSO1,,3
MDA_DMSO1-4,MDA,DMSO1,,4
MDA_DMSO1-5,MDA,DMSO1,,5
MDA_DMSO1-6,MDA,DMSO1,,6
MDA_DMSO2-1,MDA,DMSO2,,1
MDA_DMSO2-2,MDA,DMSO2,,2
MDA_DMSO2-3,MDA,DMSO2,,3
MDA_DMSO2-4,MDA,DMSO2,,4
MDA_DMSO2-5,MDA,DMSO2,,5
MDA_DMSO2-6,MDA,DMSO2,,6
MDA_EVE_0p1uM-1,MDA,EVE,0p1uM,1
MDA_EVE_0p1uM-2,MDA,EVE,0p1uM,2
MDA_EVE_0p1uM-3,MDA,EVE,0p1uM,3
MDA_EVE_10uM-1,MDA,EVE,10uM,1
MDA_EVE_10uM-2,MDA,EVE,10uM,2
MDA_EVE_10uM-3,MDA,EVE,10uM,3
MDA_EVE_1uM-1,MDA,EVE,1uM,1
MDA_EVE_1uM-2,MDA,EVE,1uM,2
MDA_EVE_1uM-3,MDA,EVE,1uM,3
MDA_KU_0p1uM-1,MDA,KU,0p1uM,1
MDA_KU_0p1uM-2,MDA,KU,0p1uM,2
MDA_KU_0p1uM-3,MDA,KU,0p1uM,3
MDA_KU_10uM-1,MDA,KU,10uM,1
MDA_KU_10uM-2,MDA,KU,10uM,2
MDA_KU_10uM-3,MDA,KU,10uM,3
MDA_KU_1uM-1,MDA,KU,1uM,1
MDA_KU_1uM-2,MDA,KU,1uM,2
MDA_KU_1uM-3,MDA,KU,1uM,3
MDA_LY_0p1uM-1,MDA,LY,0p1uM,1
MDA_LY_0p1uM-2,MDA,LY,0p1uM,2
MDA_LY_0p1uM-3,MDA,LY,0p1uM,3
MDA_LY_10uM-1,MDA,LY,10uM,1
MDA_LY_10uM-2,MDA,LY,10uM,2
MDA_LY_10uM-3,MDA,LY,10uM,3
MDA_LY_1uM-1,MDA,LY,1uM,1
MDA_LY_1uM-2,MDA,LY,1uM,2
MDA_LY_1uM-3,MDA,LY,1uM,3
MDA_OSI_0p1uM-1,MDA,OSI,0p1uM,1
MDA_OSI_0p1uM-2,MDA,OSI,0p1uM,2
MDA_OSI_0p1uM-3,MDA,OSI,0p1uM,3
MDA_OSI_10uM-1,MDA,OSI,10uM,1
MDA_OSI_10uM-2,MDA,OSI,10uM,2
MDA_OSI_10uM-3,MDA,OSI,10uM,3
MDA_OSI_1uM-1,MDA,OSI,1uM,1
MDA_OSI_1uM-2,MDA,OSI,1uM,2
MDA_OSI_1uM-3,MDA,OSI,1uM,3
MDA_RAPA_0p1uM-1,MDA,RAPA,0p1uM,1
MDA_RAPA_0p1uM-2,MDA,RAPA,0p1uM,2
MDA_RAPA_0p1uM-3,MDA,RAPA,0p1uM,3
MDA_RAPA_10uM-1,MDA,RAPA,10uM,1
MDA_RAPA_10uM-2,MDA,RAPA,10uM,2
MDA_RAPA_10uM-3,MDA,RAPA,10uM,3
MDA_RAPA_1uM-1,MDA,RAPA,1uM,1
MDA_RAPA_1uM-2,MDA,RAPA,1uM,2
MDA_RAPA_1uM-3,MDA,RAPA,1uM,3
MDA_RIDA_0p1uM-1,MDA,RIDA,0p1uM,1
MDA_RIDA_0p1uM-2,MDA,RIDA,0p1uM,2
MDA_RIDA_0p1uM-3,MDA,RIDA,0p1uM,3
MDA_RIDA_10uM-1,MDA,RIDA,10uM,1
MDA_RIDA_10uM-2,MDA,RIDA,10uM,2
MDA_RIDA_10uM-3,MDA,RIDA,10uM,3
MDA_RIDA_1uM-1,MDA,RIDA,1uM,1
MDA_RIDA_1uM-2,MDA,RIDA,1uM,2
MDA_RIDA_1uM-3,MDA,RIDA,1uM,3
MDA_TEMSI_0p1uM-1,MDA,TEMSI,0p1uM,1
MDA_TEMSI_0p1uM-2,MDA,TEMSI,0p1uM,2
MDA_TEMSI_0p1uM-3,MDA,TEMSI,0p1uM,3
MDA_TEMSI_10uM-1,MDA,TEMSI,10uM,1
MDA_TEMSI_10uM-2,MDA,TEMSI,10uM,2
MDA_TEMSI_10uM-3,MDA,TEMSI,10uM,3
MDA_TEMSI_1uM-1,MDA,TEMSI,1uM,1
MDA_TEMSI_1uM-2,MDA,TEMSI,1uM,2
MDA_TEMSI_1uM-3,MDA,TEMSI,1uM,3
MDA_TOR1_0p1uM-1,MDA,TOR1,0p1uM,1
MDA_TOR1_0p1uM-2,MDA,TOR1,0p1uM,2
MDA_TOR1_0p1uM-3,MDA,TOR1,0p1uM,3
MDA_TOR1_10uM-1,MDA,TOR1,10uM,1
MDA_TOR1_10uM-2,MDA,TOR1,10uM,2
MDA_TOR1_10uM-3,MDA,TOR1,10uM,3
MDA_TOR1_1uM-1,MDA,TOR1,1uM,1
MDA_TOR1_1uM-2,MDA,TOR1,1uM,2
MDA_TOR1_1uM-3,MDA,TOR1,1uM,3
MDA_TOR2_0p1uM-1,MDA,TOR2,0p1uM,1
MDA_TOR2_0p1uM-2,MDA,TOR2,0p1uM,2
MDA_TOR2_0p1uM-3,MDA,TOR2,0p1uM,3
MDA_TOR2_10uM-1,MDA,TOR2,10uM,1
MDA_TOR2_10uM-2,MDA,TOR2,10uM,2
MDA_TOR2_10uM-3,MDA,TOR2,10uM,3
MDA_TOR2_1uM-1,MDA,TOR2,1uM,1
MDA_TOR2_1uM-2,MDA,TOR2,1uM,2
MDA_TOR2_1uM-3,MDA,TOR2,1uM,3
MDA_ZOTA_0p1uM-1,MDA,ZOTA,0p1uM,1
MDA_ZOTA_0p1uM-2,MDA,ZOTA,0p1uM,2
MDA_ZOTA_0p1uM-3,MDA,ZOTA,0p1uM,3
MDA_ZOTA_10uM-1,MDA,ZOTA,10uM,1
MDA_ZOTA_10uM-2,MDA,ZOTA,10uM,2
MDA_ZOTA_10uM-3,MDA,ZOTA,10uM,3
MDA_ZOTA_1uM-1,MDA,ZOTA,1uM,1
MDA_ZOTA_1uM-2,MDA,ZOTA,1uM,2
MDA_ZOTA_1uM-3,MDA,ZOTA,1uM,3
